anime_name,anime_year,anime_genre,anime_views,number_of_episodes,anime_url,anime_comments,anime_description,image,ongoing
Хёка: Тебе не уйти,2012,"['Детектив', 'Повседневность', 'Приключения', 'Романтика', 'Сёнэн', 'Школа']",52424,22,https://animestars.org/aniserials/video/detective/123-heka-tebe-ne-uyti.html,7," Наш главный герой бездельник. Он не любит напрягаться, любит сделать все по быстрому и забыть как страшный сон. Ужасно не любит когда его заставляют что-то да сделать. Ну правильно, нам такое всем не нравится. Однако, судьба решает распорядиться иначе. Хотаро Орэки попадает в старшую школу Камияма, где абсолютно все ученики состоят в клубах и в них души не чают. Его сестра...",https://animestars.org/uploads/posts/2017-04/1493294675_1.jpg,0
"О том, кем работает король драконов",2018,"['Комедия', 'Повседневность', 'Спорт', 'Сэйнэн']",53683,12,https://animestars.org/aniserials/video/comedy/241-o-tom-kem-rabotaet-koroleva-drakonov.html,10,"Яичи Кузурю, главный герой данного аниме-сериала, профессиональный игрок сёги. Он настолько преуспел в этой японской настольной логической игре шахматного типа, что уже стал считать, что ему нет равных. Ему всего 16, но Кузурю уже играет в профессиональной лиге и вправе называть себя Королем Драконов, поскольку завоевал этот титул в сёги. Называется этот высокий титул так, потому,...",https://animestars.org/uploads/posts/2018-02/1519328867_1.jpg,0
Как из обычной девушки воспитать героиню 2 сезон,2017,"['Гарем', 'Комедия', 'Романтика', 'Сёнэн', 'Школа', 'Этти']",35159,11,https://animestars.org/aniserials/video/garem/87-kak-iz-obychnoy-devushki-vospitat-geroinyu-2-sezon.html,3,"Продолжение истории о геймере Томе Аки, который воспринимает окружающий мир через призму видеоигр. Однажды он сталкивается с красивой девушкой Мегумой Като. Позже этот старшеклассник и отаку узнал, что понравившаяся девушка учится в его школе. Но он никогда ее не замечал, так же как и другие, так как она неинтересная личность. Том решил исправить это и сделать видеоигру, где она...",https://animestars.org/uploads/posts/2017-03/1490699192_1-compressor.jpg,0
Дарованный,2019,"['Драма', 'Музыка', 'Повседневность', 'Романтика', 'Сёнен-ай']",45704,11,https://animestars.org/aniserials/video/drama/528-darovannyy.html,10,"Жизнь каждого из нас течет своим чередом, но у каждого есть свои увлечения или, говоря простым языком, хобби. То, чему мы можем посвятить себя в свободное время. Никакой тягости на душе от занятия любимым делом. Особенно классно, когда хобби приносит доход и не нужно ходить на работу дабы там под пристальным взглядом начальника отрабатывать свои кровные. Простое увлечение может...",https://animestars.org/uploads/posts/2019-08/1564948373_1.jpg,0
Грэй-мен 1 сезон,2006,"['Драма', 'Комедия', 'Приключения', 'Сёнэн', 'Ужасы', 'Фэнтези', 'Многосерийные']",88778,103,https://animestars.org/aniserials/video/drama/251-grey-men-1-sezon.html,8,"Люди, избранные Богом, получают возможность обладать Чистой силой, наделяющей их уникальными способностями. Таким человеком оказался и юный Ален Уолкер. После смерти отчима, мальчика охватила паника и ужас утраты, он едва не потерял рассудок. Этим горем и воспользовался Тысячелетний Граф, предложив Алену вернуть отчима. Ален согласился, но вернувшаяся душа отчима, под управлением...",https://animestars.org/uploads/posts/2018-03/1520441617_1.jpg,0
Повелитель волшебных стрел и девы войны,2014,"['Гарем', 'Приключения', 'Романтика', 'Фэнтези', 'Этти']",86912,13,https://animestars.org/aniserials/video/garem/380-povelitel-volshebnyh-strel-i-devy-voyny.html,19,"В разных мирах и странах существуют свои легенды. Одни из них повещены людям, а другие могут поведать о том, как зарождался мир. Так и тут, существует легенда о волшебном луке, который Бог подарил людям. Этот лук никогда не промахивался и абсолютно всегда попадал в цель. Благодаря обладателю сего сокровища воцарился мир и порядок. Однако, мир не может длится вечно и рано или поздно...",https://animestars.org/uploads/posts/2018-11/1543162361_1.jpg,0
Гранбельм,2019,"['Меха', 'Приключения', 'Фэнтези']",15405,13,https://animestars.org/aniserials/video/mecha/529-granbelm.html,4,"Мангэцу однажды вечером побежала в школу, чтобы забрать оставленный в столе контейнер с едой. В школе, конечно же, никого на тот момент не было. И тут она стала свидетелем битвы огромных летающих роботов. Ее тоже заметили и стали за ней охотиться. Как позже ей объяснила Сингэцу, пришедшая ей на помощь, роботами управляли маги. Сингэцу тоже владеет магией, и управляет магическим...",https://animestars.org/uploads/posts/2019-08/1565113467_1.jpg,0
Актёры города Мэкаку,2014,"['Драма', 'Комедия', 'Мистика', 'Приключения', 'Романтика', 'Сверхъестественное', 'Фантастика']",39167,12,https://animestars.org/aniserials/video/drama/458-aktery-goroda-mekaku.html,2,"Как вы себе представляли идеальную жизнь Хикикомори? Сложно себе её представить так как у каждых своих пожеланий и запросы. Скажем, если бы у вас было неограниченное количество денег, смогли бы вы сидеть дома и вообще не работать? Думаю, от этого можно сойти с ума, но со мной согласятся не все, так что на вкус и цвет. Герой же нашего Аниме по имени Кисараги Синтаро, тот еще...",https://animestars.org/uploads/posts/2019-04/1555789865_1.jpg,0
Школа-тюрьма,2015,"['Комедия', 'Романтика', 'Сэйнэн', 'Школа', 'Этти']",43319,12,https://animestars.org/aniserials/video/comedy/600-shkola-tyurma.html,11,"Каким вы себе представляли жизнь в школе? Очень интересный вопрос. Представление людей о школах в Японии расширяется с каждым днем. Это не означает проникновение вымысла в реальность, лишь тот факт, что, смотря такие произведения невольно можешь задуматься о происходящем внутри страны. Только представьте сама тюрьма может существовать в школе. И тут, мозг большинства людей завис. Ну...",https://animestars.org/uploads/posts/2019-11/1573962614_1.jpg,0
Страна чудес смертников,2011,"['Экшен', 'Драма', 'Сёнэн', 'Ужасы', 'Фантастика']",20538,12,https://animestars.org/aniserials/video/action/599-strana-chudes-smertnikov.html,8,"Тюрьма может быть очень страшным местом. В то время, как в одной стране попавший в тюрьму может исправится, в другой, его ждут невыносимые условия жизни. После этих самых тюрем вернуться к жизни не просто. Забыть совершенные тобой деяния не получится. Интересный факт со стоит в том, что сегодня ты обычный школьник по имени Игараси Ганта. У тебя есть всё, о чем может мечтать тот...",https://animestars.org/uploads/posts/2019-11/1573961563_1.jpg,0
У меня мало друзей 2 сезон,2013,"['Гарем', 'Комедия', 'Повседневность', 'Романтика', 'Школа', 'Этти']",42777,12,https://animestars.org/aniserials/video/garem/382-u-menya-malo-druzey-2-sezon.html,3,"Так называемый «Клуб Соседей» постепенно развивается. В него уже вступил не один человек и общение идет полным ходом. Поездки на пляж, в аквапарк, обычные прогулки и встречи в клубе дают свои плоды. Вот только загвоздка в том, что эти самые плоды не выходят за пределы клуба. Участники активно общаются между собой, а когда приходит время общения с другими людьми, по крайней мере у...",https://animestars.org/uploads/posts/2018-11/1543341488_1.jpg,0
У меня мало друзей 1 сезон,2011,"['Гарем', 'Комедия', 'Повседневность', 'Романтика', 'Сэйнэн', 'Школа', 'Этти']",39321,12,https://animestars.org/aniserials/video/garem/381-u-menya-malo-druzey-1-sezon.html,7,"Розовая пора моей школьной… ой, не то Аниме… Мир дружба и жвачка. Именно эти слова хотел бы сказать Хосэгава Кодака своим одноклассникам. Вот только чтобы он не говорили и как бы не смотрел на них или же любых других детей в школе, на Кодаку все смотрят с опаской. На вид он обычный парень, школьник и ничем не примечательный. Ничем не выделяется и уж тем более не собирается кого-то...",https://animestars.org/uploads/posts/2018-11/1543256956_1.jpg,0
Притворная любовь 2 сезон,2015,"['Гарем', 'Комедия', 'Романтика', 'Сёнэн', 'Школа']",25485,12,https://animestars.org/aniserials/video/garem/383-pritvornaya-lyubov-2-sezon.html,12,"Ичиджо Раку вместе с Кирисаки Читогэ все так же продолжают изображать влюбленную парочку для обеспечения мира между их семьями. Никто же не хочет войны между якудза и мафией. Вот и было принято на самых верхах о том, что дети глав семей просто будут встречаться, тем самым войны можно будет избежать. Проще сказать, что это политический брак и очень редко такие отношения заканчиваются...",https://animestars.org/uploads/posts/2018-11/1543424557_1.jpg,0
Притворная любовь,2014,"['Гарем', 'Комедия', 'Повседневность', 'Романтика', 'Сёнэн', 'Школа', 'Этти']",90702,20,https://animestars.org/aniserials/video/garem/113-pritvornaya-lyubov.html,17," Чтобы остановить войну между кланами якудза и гангстерами молодой герой якудза вынужден притворяться, что любит дочь гангстерского босса. Это счастливый союз ради обороны и безопасности. Но он никогда не мог предположить кто дочь босса. Гангстерская дочка – длинноволосая привлекательная блондинка. Он много слышал о ней, но представлял себе по другому. Мисс Чикирисаги Рагу тоже была...",https://animestars.org/uploads/posts/2017-04/1492372554_1.jpg,0
Сумеречная дева и амнезия,2012,"['Детектив', 'Мистика', 'Романтика', 'Сверхъестественное', 'Сёнэн', 'Ужасы', 'Школа', 'Этти']",30044,12,https://animestars.org/aniserials/video/detective/348-sumerechnaya-deva-i-amneziya.html,10,"События данного Аниме развернуться в одной из школ Японии. С этой школой связано очень много тайн и загадок. Снаружи она выглядит как обычная и ничем не примечательна, однако стоит углубиться в историю самой школы и вы сразу поймете, что в ней очень много загадок. Если в обычных учебных заведениях кружок паранормальных явлений считался чем-то необычным, то вот в этой школе, где...",https://animestars.org/uploads/posts/2018-08/1535561029_1.jpg,0
Когда плачут чайки,2009,"['Детектив', 'Мистика', 'Психология', 'Сверхъестественное', 'Сэйнэн', 'Триллер', 'Ужасы']",19880,26,https://animestars.org/aniserials/video/detective/598-kogda-plachut-chayki.html,3,"Когда заканчивается вымысел и начинается реальность? Для тех людей, которые имеют психические расстройства сама реальность может быть искажена. Для этих самых людей реальность и вымысел поменялись местами. А может, это мы с вами ненормальны? Никогда не задумывались над этим? Для них, мы считаемся странными и мыслящими не корректно, в свою же очередь, основная масса людей, садит...",https://animestars.org/uploads/posts/2019-11/1573884720_1.jpg,0
Учитель-мафиози Реборн!,2006,"['Комедия', 'Мистика', 'Приключения', 'Сёнэн', 'Школа', 'Многосерийные']",74348,203,https://animestars.org/aniserials/video/comedy/238-uchitel-mafiozi-reborn.html,7,"Реборн на вид маленький мальчик, который ходит в костюме и шляпе с лягушкой. Но он не ребенок, а киллер-репетитор. Когда он появился в доме старшеклассника Цуны, он очень удивил и парня, и его маму. Странный репетитор сразу показал, что от него не избавиться, и он использует нестандартные методы для перевоспитания. Так, первое что он сделал, это пустил своему подопечному пулю в лоб,...",https://animestars.org/uploads/posts/2018-02/1518709851_1.jpg,0
Восточный Эдем,2009,"['Экшен', 'Детектив', 'Дзёсэй', 'Драма', 'Приключения', 'Романтика', 'Триллер', 'Фантастика']",18831,11,https://animestars.org/aniserials/video/action/597-vostochnyy-edem.html,4,"Судьба очень странная штука. Может связать тебя с самым необычным человеком на свете. Сегодня, ты не знаешь о себе ничего, спустя пять минут ты уже миллиардер. Слишком быстро развиваются события, хотя лишь пять минут назад ты стал миллиардером. Девушка и пальто стали его судьбой. Вот так, случайная встреча может обернуться самым необычным образом. Саки, девушка турист, путешествует...",https://animestars.org/uploads/posts/2019-11/1573875083_1.jpg,0
Берсерк 1 сезон,1997,"['Экшен', 'Война', 'Драма', 'Приключения', 'Романтика', 'Сверхъестественное', 'Сэйнэн', 'Ужасы', 'Фэнтези']",44299,25,https://animestars.org/aniserials/video/action/596-berserk-1-sezon.html,21,"Порой, мир чрезвычайно жесток. Проснувшись, можно не досчитаться чего-то очень важного тебе. Это могут быть как твои родные, так и имущество. О чем уж там говорить. Жизнь человека важнее всего. Однако, жажда наживы, власти, выгоды могут нести приоритетный характер. Как говорят «Пойти по головам». Это не шутки, а реальность, даже, в наши дни. Никогда не знаешь кто тебя окружает и как...",https://animestars.org/uploads/posts/2019-11/1573874174_1.jpg,0
Двуличная сестрёнка Умару 2 сезон,2017,"['Комедия', 'Повседневность', 'Сэйнэн', 'Школа']",11468,12,https://animestars.org/aniserials/video/comedy/475-dvulichnaya-sestrenka-umaru-2-sezon.html,2,"А теперь поднимите руку и скажите мне, кто из вас не мечтал о миленькой младшей сестренке? Ну так, только честно. Рискну предположить, что такие найдутся. Тайхэй, несомненно, очень обрадовался, когда его младшая сестра, Умару, выросла умницей и красавицей, на которую хотят ровняться все. Каждый её поступок может заставить любого умиляться, а за её улыбку и говорить не хочется, там...",https://animestars.org/uploads/posts/2019-04/1556558688_1.jpg,0
Двуличная сестрёнка Умару 1 сезон,2015,"['Комедия', 'Повседневность', 'Сэйнэн', 'Школа']",15833,13,https://animestars.org/aniserials/video/comedy/474-dvulichnaya-sestrenka-umaru-1-sezon.html,7,"Характер у людей бывает разные. Иногда, слишком разный. В одной компании людей можно встретить настолько разных людей, что потом будете удивляться тому, как мир преподносит столько сюрпризов. Вот, разговор с одним человеком вызывает скуку из-за его неразговорчивости и застенчивости, как с другим, буря эмоций из-за его открытости и любви к разговору на разные темы. Не стоит забывать...",https://animestars.org/uploads/posts/2019-04/1556558147_1.jpg,0
Сказания Зестирии 1 сезон,2016,"['Экшен', 'Приключения', 'Фэнтези']",46070,13,https://animestars.org/aniserials/video/action/483-skazaniya-zestirii-1-sezon.html,11,"Люди не в силах видеть серафимов, а главный герой является одним с них. Парнишка Слей верил, что однажды человек сумеет увидеть божественное существо и их общая цель совпадет. Мечты иногда заводят личностей в заблуждения, ставят в непростую позу и заставляют поверить в свою любовь. Двум расам никогда не удастся стать счастливыми, пока между ними идут вечные бои и кто-то страдает....",https://animestars.org/uploads/posts/2019-05/1556985310_1.jpg,0
Великолепный парк Амаги,2014,"['Драма', 'Комедия', 'Фэнтези']",20926,13,https://animestars.org/aniserials/video/drama/447-velikolepnyy-park-amagi.html,5,"А каким самым необычным способом, девушка, звала вас на свидание? Размечтался, да, мужская половина читателей этого описания? И все-же, каков будет ваш ответ? Может это будет записка, или сообщение на телефоне. В современном же мире стоит просто написать сообщение в социальных сетях и ждать ответ. Далеко не обязательно лично присутствовать при данном событии в твоей жизни, когда...",https://animestars.org/uploads/posts/2019-04/1555445705_1.jpg,0
Маг на полную ставку 3 сезон,2018,"['Экшен', 'Фэнтези', 'Школа', 'Китайские']",56615,12,https://animestars.org/aniserials/video/action/510-mag-na-polnuyu-stavku-3-sezon.html,15,"Мофан живет в мире магов. Этот мир является параллельным тому, что мы знаем. Дети там не учатся в обычных школах, только в школах магии. Цель учеников – стать крутыми волшебниками. Наука в этом мире не нужна и не важна, поскольку заправляет всем магия. Парень – очень способный маг, который развивает свои способности ежедневно. Город, в котором Мофан живет, он называет Дьявольским....",https://animestars.org/uploads/posts/2019-06/1561401896_1.jpg,0
Берсерк 3 сезон,2017,"['Экшен', 'Война', 'Драма', 'Сэйнэн', 'Фэнтези']",39762,12,https://animestars.org/aniserials/video/action/91-berserk-tv-3-2017.html,9,"Сюжет аниме «Берсерк» разворачивается в вымышленном мире, который по своему техническому развитию напоминает период Раннего Возрождения в мировой истории. Здесь присутствуют, разумеется, и различные волшебные проявления, но магия не распространена широко в этом мире. Главным героем является высокий черноволосый мужчина по имени Гатс, однако ему ближе прозвище Черный Мечник....",https://animestars.org/uploads/posts/2017-03/1490884694_1.jpg,0
Маг на полную ставку 2 сезон,2017,"['Экшен', 'Комедия', 'Сёнэн', 'Фэнтези', 'Школа', 'Китайские']",53575,12,https://animestars.org/aniserials/video/action/292-mag-na-polnuyu-stavku-2-sezon.html,6,"Мо Фан возвращается, чтобы наконец показать всем на что он действительно способен. Он больше не будет скрывать свои способности, ведь его противник в дуэли не так прост. Вот Мо Фан и показал нам всем, что мы так долго ждали! Одновременное использование двух сильнейших стихий: Огня и Молнии. Ю Ан Был полностью ошарашен тем, что у его противника будет две стихии. Несмотря на тот факт,...",https://animestars.org/uploads/posts/2018-04/1524942818_1.jpg,0
Иная,2012,"['Детектив', 'Мистика', 'Сверхъестественное', 'Сэйнэн', 'Триллер', 'Ужасы', 'Школа']",36143,12,https://animestars.org/aniserials/video/detective/450-inaya.html,8,"Существует ли нечто паранормальное или же все можно объяснить человеческим фактором? На всё можно ответить по-разному. По факту, католическая церковь, из всех чудес на планете, реальными признала лишь несколько из них. Дело не церковных делах, а в паранормальном явлении, которое берет своё начало в далеком 1972-ом году в школе Ёмияма. В этой средней школе учился ученик с именем...",https://animestars.org/uploads/posts/2019-04/thumbs/1555529393_1.jpg,0
Клинок и душа,2014,"['Боевые искусства', 'Приключения', 'Сэйнэн', 'Фэнтези']",53587,13,https://animestars.org/aniserials/video/martial_arts/110-klinok-i-dusha.html,1," Однажды в мире открылись нараспашку Темные Врата. Орды демонов вырвались в мир. Однако небеса не стали смотреть на это со стороны и победили демонов, обратно загнав дьявольские силы в их мир. Ворота закрыли и запечатали навеки четыре Мастера. Но столетие назад Валел Дзин решила поднять мятеж, чтоб открыть эти врата и выпустить демонов на волю. Ей не позволили этого сделать Великие...",https://animestars.org/uploads/posts/2017-04/1492085413_1.jpg,0
Переустановка Сакурады,2017,"['Детектив', 'Драма', 'Мистика', 'Сверхъестественное', 'Фантастика', 'Школа']",18040,24,https://animestars.org/aniserials/video/detective/103-pereustanovka-sakurady.html,1," Действие аниме «Переустановка Сакурады» происходит в маленьком городке на берегу Тихого океана под названием Сакурада. Он не совсем обычный, потому что у большинства жителей этого города есть паранормальные способности. Разумеется, такую силу необходимо контролировать, поэтому такие люди попадают под управление важной правительственной организации под названием «База...",https://animestars.org/uploads/posts/2017-04/1492118293_1.jpg,0
Пожиратель душ,2008,"['Комедия', 'Приключения', 'Сверхъестественное', 'Сёнэн', 'Фэнтези', 'Многосерийные']",26065,51,https://animestars.org/aniserials/video/comedy/454-pozhiratel-dush.html,6,"Своеобразная рисовка не испортит вам впечатления от просмотра. Просто запаситесь попкорном и наслаждайтесь просмотром аниме, события которого развернуться в мире, где Бог Смерти решил обучать своих учеников в своеобразном учебном заведение. Можете называть его как угодно: Университетом, Академией, Школой. Кто знает, что у Бога на уме, а у Бога Смерти и подавно. Нехватку образования...",https://animestars.org/uploads/posts/2019-04/1555613787_1.jpg,0
Кровь Триединства,2005,"['Вампиры', 'Драма', 'Мистика', 'Постапокалиптика', 'Приключения', 'Сэйнэн', 'Фэнтези']",44328,24,https://animestars.org/aniserials/video/vampires/181-krov-triedinstva.html,3," С момента конца света прошло уже девять веков. Империя Мафусаилов, основавшаяся на востоке Европы, противостоит человеческой расе, сосредоточившейся в Ватикане. Однако есть ещё один центр - основанное людьми королевство Альбион, которое не вмешивается в борьбу двух противников. Им уже давно не по силам сдерживать два конкурирующих государства, воюющих с тех пор как ушла из жизни их...",https://animestars.org/uploads/posts/2017-07/1501125496_1.jpg,0
Повелитель хроноса,2017,"['Мистика', 'Приключения', 'Сверхъестественное', 'Сёнэн']",24813,13,https://animestars.org/aniserials/video/mystery/431-povelitel-hronosa.html,7,"Мысли о возврате в прошлое для исправления своих ошибок посещали каждого. Один хотел бы вернуться в школу со своими нынешними знаниями, другому бы хватило вернуться назад на неделю и предотвратить кражу своего телефона с кучей фотографий из маршрутки. Как вы уже поняли, всё не может быть так гладко. Парадоксы, эффекты бабочки и прочее никто не отменял и стоит сто раз подумать прежде...",https://animestars.org/uploads/posts/2019-04/1554659527_1.jpg,0
Танец клинков заклинателей,2014,"['Экшен', 'Гарем', 'Комедия', 'Мистика', 'Приключения', 'Романтика', 'Сэйнэн', 'Фэнтези', 'Школа', 'Этти']",158145,12,https://animestars.org/aniserials/video/action/84-tanec-klinkov-zaklinateley.html,12,"Элементалисты - это молодые прекрасные и очень сильные девушки. Они чистые юные девы, которые еще не потеряли невинность. Все они из благородных семей и могут общаться с духами. В школе Арейшия их обучают борьбе с тьмой. Здесь они получают элитное образование и получают квалификацию Элементалиста. Тысячу лет назад жил единственный мужчина-элементалист. Это был владыка Тьмы Сулайман....",https://animestars.org/uploads/posts/2017-03/1490691651_1.jpg,0
Заморозка 2 сезон,2013,"['Боевые искусства', 'Гарем', 'Драма', 'Комедия', 'Мистика', 'Романтика', 'Сэйнэн', 'Фантастика', 'Этти']",51360,12,https://animestars.org/aniserials/video/martial_arts/167-zamorozka-2-sezon.html,10," История продолжается. На этот раз мы окунемся в холодный мир на Аляске. После десятого вторжения Нов, люди поняли, что справляться с ними стало гораздо сложнее чем раньше. Находить новых, совместимых со стигмами девушек, становится куда сложнее. Поэтому ученые решили создать искусственных Пандор, так называемых Е-Пандор. Хотя Е-Пандоры и не дотягивают до уровня прирожденных Пандор,...",https://animestars.org/uploads/posts/2017-05/1495446357_1.jpg,0
Заморозка,2011,"['Гарем', 'Мистика', 'Приключения', 'Романтика', 'Сэйнэн', 'Школа', 'Этти']",79120,12,https://animestars.org/aniserials/video/garem/166-zamorozka.html,3," Недалекое будущее. Земля подверглась нападению так называемых Новы. Они огромные, имеют чудовищную силу, и ни щадят никого на своем пути к своей цели. Но какая у них цель? Уничтожить человечество, или же не что иное? Переговоры с ними не возможны, на контакт они не идут. В таком случае людям остается только одно... Сражаться! Пандоры - девушки со сверх способностями. Они сражаются...",https://animestars.org/uploads/posts/2017-05/1495441622_1.jpg,0
Гроб принцессы Чайки 2 сезон,2014,"['Экшен', 'Комедия', 'Приключения', 'Романтика', 'Сёнэн', 'Фантастика', 'Фэнтези']",25191,10,https://animestars.org/aniserials/video/action/79-grob-princessy-chayki-vozmezdie-tv-2.html,5,"В первом сезоне мы увидели увлекательную историю приключений Тору Акура. Он бродил как-то по лесу и увидел странную девушку в белом, к спине которой был привязан гроб. Знакомство оказалось проблемным – на девушку напало какое-то существо и им пришлось вместе от него убегать. Когда гибель уже казалась неминуемой, выяснилось, что она обладает магической силой, в гробу у нее оружие, и...",https://animestars.org/uploads/posts/2017-03/1490691146_1-compressor.jpg,0
Проект Кей: Возвращение Королей,2015,"['Экшен', 'Мистика', 'Приключения', 'Сверхъестественное']",24582,13,https://animestars.org/aniserials/video/action/500-proekt-key-vozvraschenie-koroley.html,2,"История расскажет о Японии наших дней. Безумные лидеры Семи королевств стремительными темпами желают восстановить справедливость во вселенной. Оказывается, представители разных наций и цивилизаций обладают супер способностями, что сейчас являются запретными. Нечеловеческая сила способна уничтожать каждого выступающего противника. Чтобы не допустить настоящего кровопролития, в игру...",https://animestars.org/uploads/posts/2019-05/1559320114_1.jpg,0
Гроб принцессы Чайки,2014,"['Комедия', 'Приключения', 'Романтика', 'Фэнтези']",33390,12,https://animestars.org/aniserials/video/comedy/463-grob-princessy-chayki.html,9,"Последствия после войны будут разными для каждого. Одни будут купаться в лучах славы, другие будут убиваться горем потери родных и близких. Есть и те люди, которые в виду специфики их работы могут остаться вообще забытыми и ненужными. Такие люди могут стать преступниками или умереть где-то в подворотне и о них даже не вспомнят. С нашими героями ситуация очень неоднозначная. С одной...",https://animestars.org/uploads/posts/2019-04/thumbs/1555954271_1.jpg,0
Маг на полную ставку,2016,"['Комедия', 'Приключения', 'Сёнэн', 'Фэнтези', 'Школа', 'Китайские']",87295,12,https://animestars.org/aniserials/video/comedy/234-mag-na-polnuyu-stavku.html,15,"Ничем не примечательный ученик третьего класса средней школы Мофан получает очень редкую возможность обучатся магии. Не смотря на тот факт, что его отцу пришлось сдать дом в аренду для того, чтобы сын поступил по блату в академию по изучении магии, он старается из-за всех сил. Пусть его результаты на протяжении целого года невозможно отнести к выдающимся, впереди у него годовой...",https://animestars.org/uploads/posts/2018-02/1518450125_1.jpg,0
Проект Кей,2012,"['Экшен', 'Мистика', 'Приключения', 'Сверхъестественное']",24261,13,https://animestars.org/aniserials/video/action/498-proekt-key.html,1,"Когда японские авторитеты решают навести порядок в своей стране, начинается величайшая битва за трон. Как не странно, в ход вмешивается маленький мальчишка, которому трудно представить собственную жизнь и он решается на грандиозное открытие. Семь королевств не могут навести порядок в своем городе. Им необходимо найти лидера и справиться с безжалостными монстрами, не понимая, что тем...",https://animestars.org/uploads/posts/2019-05/1559148040_1.jpg,0
Безбожное воскресенье,2013,"['Драма', 'Мистика', 'Приключения', 'Романтика', 'Сёнэн', 'Трагедия', 'Фэнтези']",129014,12,https://animestars.org/aniserials/video/drama/170-bezbozhnoe-voskresene.html,8," Для создания мира людей и всего живого Богу понадобилось всего шесть дней, на седьмой – он покинул созданный им мир. После этого события прошло уже пятнадцать лет. На протяжении этого времени люди остались брошенными Богом, престали рождаться и умирать. В мире остались избранные, которые могли убить живого человека и дать покой его душе – «Хранители могил». Двенадцатилетняя девочка...",https://animestars.org/uploads/posts/2017-05/1495626260_1.jpg,0
Класс убийц 2 сезон,2016,"['Комедия', 'Приключения', 'Сёнэн', 'Школа']",37863,25,https://animestars.org/aniserials/video/comedy/424-klass-ubiyc-2-sezon.html,15,"Профессиональных убийц растят чуть ли не с пелёнок. Тут, немного другой случай. Как мы знаем, из первого сезона, дети так и не смогли убить их сенсей. А сенсей то не простой, сенсей то золотой. Ну, буквально, он желтого цвета, вот и золотой. Выглядит он как осьминог, постоянно улыбается и помимо всего не только пытается спасти себя от смерти, но и дать образование своим ученикам....",https://animestars.org/uploads/posts/2019-04/1554492010_1.jpg,0
Тайные желания отвергнутых,2017,"['Лесби-тема', 'Психология', 'Романтика', 'Сэйнэн', 'Школа']",62456,12,https://animestars.org/aniserials/video/yuri/36-taynye-zhelaniya-otvergnutyh-kuzu-no-honkai.html,11,"Муги – привлекательный молодой человек, у которого много поклонниц, в их числе Камомебата Норико, она же Мока. Но сам он влюблен в своего репетитора очаровательную Аканэ Минагавэ. Его подруга Ханаби прекрасно знает о его чувствах. Она сама безответно влюблена в брата Наруби. Муги и Ханаби сами не замечают, как так получилось, что они стали проводить всё свое свободное время вместе....",https://animestars.org/uploads/posts/2017-03/1490731370_1.jpg,0
Этот замечательный мир! 2 сезон,2017,"['Гарем', 'Комедия', 'Пародия', 'Приключения', 'Сёнэн', 'Фэнтези']",77322,10,https://animestars.org/aniserials/video/garem/73-etot-zamechatelnyy-mir-tv-2.html,26,"Казумо Сато – геймер. Почти всё время он сидел дома и играл, но однажды вышел на улицу купить журнал и погиб, спасая незнакомую девушку. Правда, умер он не от того, что его сбила машина, а потому, как он сильно испугался - это произойдет. После того, как его сердце остановилось, он встретился с Богиней, и та рассказала ему, что его ждет. Казума отправился в другой мир, и взял с...",https://animestars.org/uploads/posts/2017-03/1490712540_1-compressor.jpg,0
Этот замечательный мир!,2016,"['Гарем', 'Комедия', 'Пародия', 'Приключения', 'Романтика', 'Сёнэн', 'Фэнтези', 'Этти']",162169,10,https://animestars.org/aniserials/video/garem/300-etot-zamechatelnyy-mir.html,14,"Жизнь Сато Казума круто изменилась после неожиданной смерти. Госпожа Аква, богиня, определяющая дальнейшее местонахождение и перерождение погибших в нашем мире юношей, предложила ему отправиться в другой мир, где он мог бы спасти всех от Короля Демонов. Сато согласился, но неожиданно для Аквы, которая совсем ему не понравилась, так как смеялась над тем, как он умер, смог взять ее с...",https://animestars.org/uploads/posts/2018-05/1525711518_1.jpg,0
