anime_name,anime_year,anime_genre,anime_views,number_of_episodes,anime_url,anime_comments,anime_description,image,ongoing
Человек-дьявол: Плач,2018,"['Сверхъестественное', 'Ужасы', 'Фэнтези']",12981,10,https://animestars.org/aniserials/video/supernatural/905-chelovek-djavol-plach.html,9,"Когда-то человечеству удалось спастись, загнав всех демонов в склепы. Сейчас, в аниме «Человек-дьявол: Плач» покажет, что вселенная ошибалась, а монстры, лишь на время покинули нашу грешную Землю. Рё Асука, парень, пришедший с небес, рассказывает другу Акиру, что очень скоро случиться неминуемое событие, после чего, на планете не останется святых людей. Он, предупреждает, что темные...",https://animestars.org/uploads/posts/2020-10/1602252919_1.webp,0
Двенадцать королевств,2002,"['Приключения', 'Сверхъестественное', 'Сэйнэн', 'Фэнтези']",18475,45,https://animestars.org/aniserials/video/adventure/904-dvenadcat-korolevstv.html,4,"Существует параллельный мир, о чём расскажет аниме «Двенадцать королевств». Эта вселенная существует между двумя гранями реальности. Именно здесь, все окружающие люди живут по правилам пророчества, Конфуций становиться главным отцом случившегося. Оказывается, все живут по правилам, что дети рождаются с плодов, а силой наделен тот, кому улыбаются небеса. Священный зверь Кирин, сможет...",https://animestars.org/uploads/posts/2020-10/1602249573_1.webp,0
Догма дракона,2020,"['Экшен', 'Приключения', 'Фэнтези']",28855,7,https://animestars.org/aniserials/video/action/897-dogma-drakona.html,6,"Страшно себе представить все ужасы войны. Бедный парень познал на себе всю боль утрат и тягот войны. Ладно бы просто война, бедолагу убил дракон. Его бы душе упокоится с миром, только жажда отомстить была сильнее. Бедолага вернулся к жизни без своего сердца. Это самое сердце и украл дракон. Теперь, главному герою по имени Итан предстоит вернуть своё сердце из лап чудовища. Не зря же...",https://animestars.org/uploads/posts/2020-10/1601964743_1.webp,0
Морская невеста,2007,"['Комедия', 'Пародия', 'Романтика', 'Сёнэн', 'Школа']",12185,26,https://animestars.org/aniserials/video/comedy/896-morskaja-nevesta.html,3,"Слышали ли вы о русалках? Конечно слышали. Частенько о них читают сказки, ходят легенды, даже, в школе, некоторые произведения посвящены этим вымышленным созданиям. А что, если я вам скажу, что в каждой шутке есть доля правды? Не могли же они получиться в голове автора просто так? Кто его знает, кого или что видел «создатель» этих таинственных существ. Вы только представьте себе...",https://animestars.org/uploads/posts/2020-10/1601963244_1.webp,0
Усопшие,2010,"['Вампиры', 'Детектив', 'Драма', 'Сверхъестественное', 'Сёнэн', 'Триллер', 'Ужасы']",16556,22,https://animestars.org/aniserials/video/vampires/892-usopshie.html,6,"Территория Сотобамуры достаточно маленькая, здесь численность н превышает полторы тысячи человек. Невероятно, деревня с аниме «Усопшие», связывается с большим миром и окружающей средой благодаря, маленькому шоссе. Ничего не предвещало беды, пока рано утром, местные жильцы не увидели в окрестности дороги три лежащих на земле силуэта, напоминающие людские тела. Это были убитые жильцы...",https://animestars.org/uploads/posts/2020-10/1601923480_1.webp,0
Робин - охотница на ведьм,2002,"['Экшен', 'Детектив', 'Драма', 'Мистика', 'Сверхъестественное', 'Фантастика']",20223,26,https://animestars.org/aniserials/video/action/890-robin-ohotnica-na-vedm.html,1,"Сюжетная линия «Робин - охотница на ведьм» разворачивается во вселенной, отказавшейся от магии и волшебства. Здесь, на протяжении длительного времени не наблюдалось никакой борьбы с темной силой, все лишь налаживается в лучшую сторону. Появившийся редкий синдром STN-J, сумевший закружить головы всему руководству. Оказывается, структурное правительство в ближайшее время будет...",https://animestars.org/uploads/posts/2020-10/1601881989_1.webp,0
Безответственный капитан Тайлор,1993,"['Война', 'Комедия', 'Пародия', 'Фантастика']",8404,26,https://animestars.org/aniserials/video/war/889-bezotvetstvennyj-kapitan-tajlor.html,2,"Джасти с аниме «Безответственный капитан Тайлор» за жизнь ничего не смог получить: образование и заработок обошел его стороной. Жизненные преграды разойдутся по сторонам, поскольку герой обладает уникальность, поскольку удача не обходит мужчину стороной, он всегда выигрывает схватки. Однажды, ему пришлось стать спасателем для двух детишек. Но, кто бы мог подумать, что данные детки...",https://animestars.org/uploads/posts/2020-10/1601835007_1.webp,0
Волейбол 4 сезон,2020,"['Драма', 'Комедия', 'Повседневность', 'Сёнэн', 'Спорт', 'Школа']",672808,13,https://animestars.org/aniserials/video/drama/660-voleybol-4-sezon.html,35,"Большие амбиции могут привести к большим свершениям. Поставить цель перед собой недостаточно. Если усердно не работать над собой и постоянно не усовершенствовать себя, то добить успеха будет крайне тяжело. Хотя, зависит от цели. Пойти после работы погулять – не цель. Целью является, к примеру, победа в чемпионате по Волейболу. Вот у наших главных героев именно такие амбиции и они...",https://animestars.org/uploads/posts/2020-01/1578850937_1.jpg,0
Темнее черного 2 сезон,2009,"['Экшен', 'Детектив', 'Драма', 'Мистика', 'Фантастика']",14429,12,https://animestars.org/aniserials/video/action/879-temnee-chernogo-2-sezon.html,0,"События, разворачивающие в Аниме «Темнее чёрного 2 сезон», перенесут нас далеко за пределы Японии. Хотя, если быть точным, то события будут развиваться в России. Вот так поворот. Владивосток предстанет перед вами во всей красе. Ещё вчера герои старались жить спокойной жизнью в Токио. Сегодня, они покинули могущественный синдикат в надежде найти пристанище в другом месте, где будет...",https://animestars.org/uploads/posts/2020-10/1601567454_1.webp,0
Джибиэйт,2020,"['Экшен', 'Боевые искусства', 'Самураи', 'Сэйнэн', 'Ужасы', 'Фэнтези']",59878,12,https://animestars.org/aniserials/video/action/806-dzhibijejt.html,7,"Люди очень интересные существа. Интересные они тем, что они максимально сильно жаждут знаний. Эти знания могут быть полезными, а могут быть очень разрушительными для всего рода людского в целом. Благие намерения могут стать разрушительными и наоборот. Вспомните для чего создавался «Интернет». Ну, это все лирика, главная проблема состоит в том, что очередные проделки людей, а может и...",https://animestars.org/uploads/posts/2020-07/1595160606_1.webp,0
